text,label
1970s,neutral
1980s,neutral
19th,neutral
1st,neutral
20th,neutral
2nd,neutral
3rd,neutral
aa,neutral
aaa,neutral
aachen,neutral
aarhus,neutral
aaron,neutral
ab,neutral
aba,neutral
aback,neutral
abandon,neutral
abandoned,neutral
abandoning,neutral
abandonment,neutral
abbas,neutral
abbess,neutral
abbey,neutral
abbot,neutral
abbott,neutral
abbreviated,neutral
abbreviation,neutral
abby,neutral
abc,neutral
abd,neutral
abdomen,neutral
abdominal,neutral
abducted,neutral
abduction,neutral
abdul,neutral
abdullah,neutral
abe,neutral
abel,neutral
aberdeen,neutral
abigail,neutral
abilities,neutral
ability,neutral
able,neutral
abnormal,negative
abnormalities,neutral
aboard,neutral
abolished,neutral
abolition,neutral
abolitionist,neutral
aboriginal,neutral
abortion,neutral
about,neutral
above,neutral
abraham,neutral
abrams,neutral
abroad,neutral
abrupt,negative
abruptly,negative
abs,neutral
absent,neutral
absently,neutral
absolute,neutral
absolutely,neutral
absorb,neutral
absorbed,neutral
absorbing,neutral
absorption,neutral
abstract,neutral
abstraction,neutral
abstracts,neutral
absurd,negative
abu,neutral
abundance,positive
abundant,positive
abuse,negative
abused,negative
abuses,negative
abusive,negative
ac,neutral
acacia,neutral
academia,neutral
academic,neutral
academics,neutral
academie,neutral
academies,neutral
academy,neutral
acc,neutral
accelerate,neutral
accelerated,neutral
accelerating,neutral
acceleration,neutral
accelerator,neutral
accent,neutral
accents,neutral
accept,neutral
acceptable,neutral
acceptance,neutral
accepted,neutral
accepting,neutral
accepts,neutral
access,neutral
accessed,neutral
accessibility,neutral
accession,neutral
accessories,neutral
accessory,neutral
accident,neutral
accidentally,neutral
accidents,neutral
acclaim,positive
acclaimed,positive
accolades,positive
accommodate,neutral
accommodated,neutral
accommodation,neutral
accommodations,neutral
accompanied,neutral
accompaniment,neutral
accompany,neutral
accompanying,neutral
accomplishment,positive
accomplishments,positive
accord,neutral
accordance,neutral
according,neutral
accordingly,neutral
accordion,neutral
account,neutral
accountability,neutral
accountable,neutral
accountant,neutral
accountants,neutral
accounted,neutral
accounting,neutral
accounts,neutral
accreditation,neutral
accredited,neutral
accumulate,neutral
accumulated,neutral
accumulation,neutral
accuracy,neutral
accusation,negative
accusations,negative
accuse,negative
accused,neutral
accusing,negative
accustomed,neutral
ace,neutral
aces,neutral
ache,negative
ached,negative
acheron,neutral
achieve,neutral
achieved,neutral
achievement,positive
achievements,positive
achieving,neutral
achilles,neutral
aching,negative
acid,neutral
acidic,neutral
acids,neutral
acknowledge,neutral
acknowledged,neutral
acknowledges,neutral
acknowledging,neutral
acoustic,neutral
acquaintance,neutral
acquaintances,neutral
acquainted,neutral
acquire,neutral
acquired,neutral
acquiring,neutral
acquisition,neutral
acquisitions,neutral
acquitted,neutral
acre,neutral
acres,neutral
acronym,neutral
across,neutral
act,neutral
acted,neutral
acting,neutral
action,neutral
actions,neutral
activate,neutral
activated,neutral
activation,neutral
active,neutral
actively,neutral
activism,neutral
activist,neutral
activists,neutral
activities,neutral
activity,neutral
acton,neutral
actor,neutral
actors,neutral
actress,neutral
actresses,neutral
acts,neutral
actual,neutral
actually,neutral
acute,neutral
ad,neutral
ada,neutral
adam,neutral
adams,neutral
adapt,neutral
adaptation,neutral
adaptations,neutral
adapted,neutral
adapting,neutral
add,neutral
added,neutral
addicted,negative
addiction,neutral
adding,neutral
addison,neutral
addition,neutral
additional,neutral
additionally,neutral
additions,neutral
additive,neutral
address,neutral
addressed,neutral
addresses,neutral
addressing,neutral
adds,neutral
adelaide,neutral
adele,neutral
aden,neutral
adept,neutral
adequately,neutral
adhere,neutral
adherence,neutral
adherents,neutral
adi,neutral
adjacent,neutral
adjective,neutral
adjoining,neutral
adjunct,neutral
adjust,neutral
adjusted,neutral
adjusting,neutral
adjustment,neutral
adjustments,neutral
adjutant,neutral
adler,neutral
administer,neutral
administered,neutral
administering,neutral
administration,neutral
administrations,neutral
administrative,neutral
administratively,neutral
administrator,neutral
administrators,neutral
admiral,neutral
admiralty,neutral
admiration,positive
admire,positive
admired,neutral
admiring,positive
admission,neutral
