text,label
sovereignty,location
tt,location
malta,location
have,location
poor,location
residence,location
cuba,location
haiti,location
fiji,location
australia,location
bahamas,location
indonesia,location
maldives,location
mauritius,location
philippines,location
bringing,location
russia,location
decades,location
especially,location
continues,location
america,location
seen,location
governments,location
been,location
recently,location
largely,location
volcano,location
peak,location
plateau,location
pile,location
summit,location
slope,location
himalayas,location
highlands,location
foothills,location
slopes,location
climbing,location
hiking,location
canyon,location
cliffs,location
gorge,location
alps,location
ocean,location
sight,location
flock,location
mess,location
berg,location
mars,location
peaks,location
trail,location
mound,location
iceland,location
plains,location
creek,location
wilderness,location
valleys,location
hilltop,location
springs,location
lakes,location
azores,location
placement,location
positioning,location
locating,location
anywhere,location
entrance,location
jungle,location
planting,location
somewhere,location
infinite,location
workplace,location
determination,location
notch,location
sites,location
stance,location
accessible,location
relationship,location
democracy,location
provincial,location
congress,location
florida,location
board,location
michigan,location
governors,location
counties,location
representatives,location
former,location
senate,location
jurisdiction,location
utopia,location
illumination,location
stillness,location
unification,location
perfection,location
integrity,location
unity,location
obligation,location
destruction,location
plurality,location
utilization,location
soviets,location
georgia,location
texas,location
legislature,location
officials,location
arizona,location
oklahoma,location
missouri,location
declared,location
illinois,location
virginia,location
louisiana,location
kansas,location
according,location
represented,location
districts,location
metropolis,location
civilization,location
building,location
jerusalem,location
mayor,location
ruins,location
rome,location
metro,location
york,location
amsterdam,location
santiago,location
airport,location
beijing,location
guangzhou,location
tianjin,location
housing,location
cairo,location
moscow,location
infrastructure,location
citadel,location
township,location
peru,location
castle,location
crime,location
italy,location
constantinople,location
pollution,location
telecommunication,location
sewage,location
transportation,location
businesses,location
berlin,location
paris,location
seoul,location
tokyo,location
taipei,location
damascus,location
dwelling,location
constantine,location
hamilton,location
cordoba,location
juarez,location
brno,location
trondheim,location
gothenburg,location
uppsala,location
aachen,location
brunswick,location
taxation,location
tribe,location
koln,location
pakistan,location
opened,location
moved,location
tourism,location
leaving,location
lima,location
municipalities,location
offices,location
baghdad,location
queens,location
suffix,abbreviation
epithet,abbreviation
initials,abbreviation
radar,abbreviation
thorn,abbreviation
philology,abbreviation
colloquially,abbreviation
okay,abbreviation
abbreviated,abbreviation
fashion,description
mode,description
ways,description
demeanor,description
bearing,description
presence,description
courtesy,description
lifestyle,description
setup,description
fairly,description
equally,description
engaging,description
perfectly,description
overly,description
similarly,description
incredibly,description
remarkably,description
entirely,description
conscious,description
suited,description
sensible,description
considered,description
thoughtful,description
often,description
termed,description
lacking,description
appealing,description
reasonably,description
appropriately,description
necessity,description
complicated,description
circumstances,description
deemed,description
usual,description
proved,description
challenging,description
logic,description
truth,description
thinking,description
intuition,description
reasons,description
opportunity,description
incentive,description
connection,description
feel,description
certainly,description
unfortunately,description
obviously,description
whatever,description
expect,description
likely,description
hardly,description
happen,description
convinced,description
philosophers,description
definitely,description
aware,description
surely,description
unlikely,description
psyche,description
cosmos,description
renaissance,description
skepticism,description
norm,description
fight,description
resistance,description
performance,description
interaction,description
proceedings,description
aggression,description
moves,description
measures,description
lawsuit,description
sue,description
scattering,description
proceeding,description
warfare,description
emphasizing,description
consultation,description
soaking,description
inhibition,description
saving,description
option,description
execution,description
arrival,description
kindness,description
extraction,description
extinction,description
drift,description
dissolution,description
diffusion,description
decay,description
blockade,description
rampage,description
feat,description
threat,description
efforts,description
supporting,description
strategy,description
considering,description
appeal,description
attempts,description
policy,description
setting,description
tough,description
aimed,description
failed,description
failure,description
involved,description
activist,description
criteria,description
definitions,description
limitations,description
classics,description
changing,description
reality,description
formats,description
single,human
various,human
individuals,human
shared,human
accountability,human
placing,human
categories,human
benefit,human
participants,human
women,human
varying,human
kinds,human
participating,human
additionally,human
separately,human
contributions,human
ones,human
customized,human
ability,human
opportunities,human
participant,human
designation,human
header,human
heading,human
champions,human
trophy,human
legend,human
wins,human
cup,human
singles,human
nickname,human
surname,human
headlines,human
headline,human
don,human
mister,human
reverend,human
padre,human
titles,human
won,human
winners,human
reigning,human
slam,human
grand,human
debut,human
matches,human
masters,human
champ,human
finishing,human
federation,human
cooperative,human
bureaucracy,human
